Student_ID,Delta_PSD,Theta_PSD,Alpha_PSD,Beta_PSD,Gamma_PSD,Pupil_Dilation,Blink_Rate,Fixation_Duration,Saccade_Velocity,Learning_Content_Type,Difficulty_Level,Engagement_Label
1,2.3140878779525567,1.7424298259270086,0.6161449367923819,1.4506620775570451,1.2167545184536266,1.4947888497050494,12,669,132.35274573163235,Text,Easy,0
1,2.318385479505534,1.835014165644217,2.3098597609830738,1.287361469332077,0.7910051338229882,1.4778506648336451,19,646,153.85676646809793,Video,Hard,1
1,0.6426004943155335,1.2711646263413008,1.0893518696466111,2.3424114277246364,0.6678377060350631,1.9194849843561486,24,450,270.9367838683937,Video,Hard,0
1,1.2875838689411208,2.2636983528098362,1.6371401999635427,1.9634184094146354,1.429694736011827,2.518240036685179,20,771,272.98370007620485,Interactive,Easy,2
1,1.2432100992273525,1.4456329286944885,0.6813076625912016,1.6192964133619998,1.8216973504930771,2.3638502889919675,19,307,185.12918251774073,Video,Medium,2
1,0.5279382061426516,1.336005706252986,1.7056358209046856,2.3589085309818847,0.9289343799408298,2.1773177110308004,17,622,140.63016152980776,Interactive,Medium,2
1,2.014917840178441,2.2866794750036377,1.028081213691203,2.057771363374048,2.202349231146825,1.6274450053790506,24,363,231.41244036594853,Video,Easy,2
1,1.1702519426090814,0.5805742128792568,2.1595455669990065,0.9336582441037449,0.988268735951324,1.5446372236756245,26,327,288.2898263148793,Video,Medium,2
1,1.8982816755529346,2.2568542517182344,1.0482822384851038,0.9610943022297462,1.3013794874783897,1.1983195858011628,24,344,190.52595575366607,Interactive,Hard,2
1,1.1963045347264265,0.8322697417263754,1.1739964151475648,1.3945960418095602,1.6240363321023898,1.3168239359237395,29,415,77.71838301363292,Text,Hard,2
2,1.8501906338014402,1.072479628691023,1.2765248037725703,1.0669776117860381,0.5048381080348314,1.1181670162411257,20,295,213.4184979780494,Text,Easy,1
2,1.3615674838504954,1.2334097360084397,2.200644815122822,1.7780008156765699,1.6355394701566162,2.4791188463557523,17,560,262.2445163691043,Interactive,Medium,2
2,2.328509490401238,2.4739669458913687,1.713929199311989,2.367239748499932,0.5162495328186167,1.640074685872442,12,384,93.23048820001358,Video,Hard,0
2,2.116242659988715,2.190378775450043,2.1584638048804887,2.2691843528631406,2.0617710269704803,2.5399006127558517,21,608,216.5726591249455,Video,Easy,2
2,2.1735072304445033,2.4360855682136746,1.1164354215269376,2.0746748526437453,1.2339824463000097,2.609680473195506,25,391,227.03071684713302,Interactive,Easy,1
2,1.5796885561703766,1.7704862767542497,0.9639337000437644,1.993828105137975,2.338812490184309,1.007725732062758,25,592,168.8905656668286,Text,Easy,1
2,0.5280937013852793,0.6271188842631406,1.5490082772935478,1.6611480507536784,1.6251696353035832,1.3954801434412232,26,404,82.7034335086731,Video,Medium,1
2,2.0872924263156234,0.7784387910400945,1.3776211179370559,1.1988627900774085,0.8567956858751187,2.763375808983026,15,421,284.05130831159784,Text,Medium,1
2,1.7337956972920274,0.600032306544529,1.4385121137761614,1.538345342133078,1.8330445585157034,1.1816858120949942,10,373,87.62502196766448,Text,Easy,1
2,1.541403353995321,0.8679358645550377,1.386987590307189,0.6111044499357277,2.270533851749171,2.253720879536047,24,665,282.62903076183227,Video,Easy,0
3,0.6798239270201762,1.3079029890175744,1.0019713579271365,2.204731735817073,1.4004012095483536,1.742775517435007,12,543,148.98902098670254,Video,Medium,1
3,2.2809895573843377,2.200064805078811,1.9823380516560536,1.5151539408144417,1.6058437301364161,1.4155852621715876,29,417,147.78509868820012,Text,Hard,1
3,2.0712816880691665,0.8213228770954359,1.3732654341643813,0.666114758390437,1.1788881691486937,1.3232668191762738,18,275,102.30788290384963,Video,Easy,2
